iter	Quantile:alpha=0.5
0	0.5778973548
1	0.5604643287
2	0.5448229159
3	0.5305902888
4	0.5165091237
5	0.5040993032
6	0.4923288621
7	0.4811235614
8	0.4713417213
9	0.4616450886
10	0.4529106454
11	0.4442543305
12	0.4369804958
13	0.4301238314
14	0.4234422112
15	0.4169369482
16	0.4107448828
17	0.4047456142
18	0.3986766516
19	0.3939423117
20	0.3892398504
21	0.3850247586
22	0.3808294784
23	0.3770756503
24	0.3730546743
25	0.3699906847
26	0.3667014148
27	0.3640237351
28	0.3608893463
29	0.3580795501
30	0.3552210448
31	0.352895421
32	0.3505613433
33	0.3485443364
34	0.3462693707
35	0.3442146022
36	0.34264776
37	0.3408539301
38	0.3394670985
39	0.3379889059
40	0.3365678227
41	0.334865607
42	0.3331641871
43	0.3319164869
44	0.3305593003
45	0.3294005995
46	0.3282273139
47	0.326867662
48	0.3259019764
49	0.3247411611
50	0.3236856811
51	0.3229130709
52	0.3220516031
53	0.3210908467
54	0.3201026525
55	0.3194889415
56	0.3187964591
57	0.3180879958
58	0.3173425354
59	0.3168359279
60	0.3160941503
61	0.3153869343
62	0.3148759532
63	0.3143324
64	0.3136299389
65	0.3131339305
66	0.3125788836
67	0.3119496248
68	0.3116079343
69	0.3111048119
70	0.3107774096
71	0.310365447
72	0.3099955024
73	0.3096915322
74	0.3092430003
75	0.3089219462
76	0.3084151738
77	0.3079712825
78	0.3075898977
79	0.3073205849
80	0.3070997432
81	0.306820088
82	0.306515544
83	0.3062923645
84	0.3060852262
85	0.305880847
86	0.3056400075
87	0.3053657219
88	0.3051167985
89	0.3048595277
90	0.3046711747
91	0.3044236568
92	0.3041446488
93	0.3038796024
94	0.3036916742
95	0.3034313814
96	0.3032430761
97	0.3030013107
98	0.3028081661
99	0.3025352462
100	0.3021435963
101	0.3018108487
102	0.3015707279
103	0.301372103
104	0.3011731423
105	0.301017466
106	0.300637801
107	0.3004144009
108	0.3001804402
109	0.3000006968
110	0.2996735187
111	0.2993285468
112	0.2990848867
113	0.2988623171
114	0.2985914545
115	0.298392809
116	0.2981915327
117	0.297954779
118	0.2978441435
119	0.2975660115
120	0.2974288156
121	0.2971763436
122	0.2970246679
123	0.296805785
124	0.2967030928
125	0.2965698447
126	0.2964509069
127	0.2962896955
128	0.2960903045
129	0.2959842736
130	0.2958523645
131	0.295706585
132	0.2955713246
133	0.2952748773
134	0.2950911751
135	0.2949861723
136	0.2948996858
137	0.2946551222
138	0.2945230861
139	0.2943537322
140	0.2941746495
141	0.2939329315
142	0.2937075336
143	0.293582876
144	0.2934709833
145	0.2933529739
146	0.2931882449
147	0.2930550184
148	0.2929297655
149	0.2928084788
150	0.2926711747
151	0.2925806102
152	0.2924793447
153	0.29237241
154	0.2922029987
155	0.2920045998
156	0.2918246575
157	0.2916630116
158	0.2915658847
159	0.2914064018
160	0.2913068594
161	0.2911933285
162	0.2909611943
163	0.2908248496
164	0.2906521151
165	0.2905035652
166	0.2903221966
167	0.2901301205
168	0.2900353935
169	0.2899169257
170	0.2897697623
171	0.2896874162
172	0.2895635119
173	0.2894980879
174	0.2892989538
175	0.289178257
176	0.2889864335
177	0.2888636538
178	0.2887884686
179	0.288614392
180	0.2885141395
181	0.2883726091
182	0.2882450075
183	0.2880214583
184	0.2877653381
185	0.2875683484
186	0.2874594428
187	0.2873698573
188	0.2872747778
189	0.2871838872
190	0.2871037025
191	0.2869868269
192	0.2868573936
193	0.2866949301
194	0.2865849018
195	0.2864081493
196	0.2862495762
197	0.2861780714
198	0.2860834283
199	0.2859494233
200	0.2858563428
201	0.2857334967
202	0.2855679049
203	0.2854154008
204	0.2853268511
205	0.2851500068
206	0.2850392968
207	0.2848852635
208	0.2848037679
209	0.2847128552
210	0.2845890512
211	0.2844082595
212	0.284189503
213	0.283998656
214	0.2839064253
215	0.2837719988
216	0.2836257592
217	0.2835795233
218	0.2834897016
219	0.2834006718
220	0.2833298462
221	0.2832207933
222	0.2830935817
223	0.2830300483
224	0.2829302689
225	0.2828431613
226	0.2827426212
227	0.282607232
228	0.2825223898
229	0.2824388332
230	0.2823316934
231	0.2822555405
232	0.2821264254
233	0.2820042457
234	0.2819062751
235	0.2817681261
236	0.2816519503
237	0.281560715
238	0.2813917994
239	0.2812427486
240	0.2811371526
241	0.2809933978
242	0.2808629425
243	0.2807418274
244	0.2806151628
245	0.2805320108
246	0.2804331126
247	0.2803073741
248	0.2802343589
249	0.2801346244
250	0.2800412215
251	0.2798453593
252	0.279693152
253	0.2795435635
254	0.2794320144
255	0.279319941
256	0.2791884519
257	0.2790700904
258	0.2789846469
259	0.2788910555
260	0.2787507978
261	0.2785868536
262	0.2784749028
263	0.2783548603
264	0.2782473966
265	0.2781410406
266	0.2780453945
267	0.277932798
268	0.2777405215
269	0.277598229
270	0.2775134933
271	0.2774326615
272	0.2773551465
273	0.2772500994
274	0.2771427464
275	0.277059247
276	0.2769632023
277	0.2768369617
278	0.2767565885
279	0.2766363272
280	0.2765027004
281	0.2764208263
282	0.2763545853
283	0.2762415544
284	0.2761880116
285	0.27607401
286	0.2760141609
287	0.2759176452
288	0.2758185086
289	0.2756858673
290	0.2755614867
291	0.2754231988
292	0.275353445
293	0.2752557571
294	0.2751478797
295	0.2750463345
296	0.2749410749
297	0.2748079416
298	0.2747122491
299	0.2745689604
300	0.2744523485
301	0.2743539276
302	0.2742280833
303	0.2741922723
304	0.274089495
305	0.2740633119
306	0.2739387697
307	0.2738499067
