iter	Passed	Remaining
0	57	28677
1	118	29530
2	176	29189
3	233	28925
4	289	28612
5	345	28465
6	403	28406
7	460	28342
8	512	27967
9	567	27809
10	620	27603
11	676	27526
12	737	27609
13	793	27528
14	851	27545
15	909	27518
16	965	27426
17	1019	27304
18	1076	27253
19	1138	27319
20	1197	27309
21	1253	27235
22	1309	27148
23	1364	27056
24	1419	26978
25	1484	27064
26	1541	27009
27	1596	26911
28	1652	26844
29	1709	26779
30	1767	26735
31	1824	26681
32	1879	26604
33	1935	26530
34	1990	26450
35	2060	26559
36	2118	26505
37	2175	26449
38	2231	26371
39	2286	26289
40	2341	26210
41	2394	26110
42	2448	26019
43	2503	25949
44	2563	25916
45	2615	25818
46	2671	25748
47	2726	25678
48	2781	25599
49	2835	25522
50	2889	25440
51	2942	25350
52	2994	25252
53	3048	25179
54	3102	25100
55	3157	25034
56	3213	24973
57	3267	24899
58	3320	24820
59	3376	24761
60	3431	24695
61	3485	24622
62	3538	24547
63	3600	24525
64	3652	24444
65	3707	24381
66	3766	24344
67	3824	24294
68	3881	24245
69	3937	24185
70	3992	24122
71	4048	24067
72	4102	23997
73	4157	23932
74	4214	23880
75	4270	23827
76	4323	23751
77	4376	23675
78	4429	23602
79	4482	23534
80	4542	23496
81	4597	23435
82	4655	23389
83	4713	23345
84	4767	23274
85	4822	23217
86	4879	23162
87	4937	23115
88	4995	23068
89	5049	23002
90	5104	22940
91	5158	22874
92	5213	22816
93	5270	22762
94	5323	22694
95	5379	22637
96	5436	22586
97	5488	22515
98	5544	22456
99	5600	22400
100	5655	22340
101	5711	22286
102	5769	22238
103	5826	22184
104	5881	22126
105	5935	22062
106	5987	21991
107	6043	21936
108	6100	21881
109	6156	21828
110	6214	21779
111	6271	21726
112	6327	21669
113	6383	21613
114	6437	21551
115	6495	21503
116	6551	21447
117	6605	21385
118	6659	21320
119	6713	21260
120	6768	21199
121	6825	21147
122	6880	21087
123	6935	21028
124	6988	20966
125	7048	20923
126	7102	20859
127	7158	20804
128	7215	20752
129	7273	20700
130	7327	20641
131	7382	20582
132	7437	20523
133	7494	20469
134	7551	20416
135	7610	20369
136	7665	20311
137	7722	20258
138	7779	20205
139	7834	20145
140	7887	20083
141	7946	20033
142	8002	19977
143	8057	19920
144	8112	19860
145	8169	19807
146	8225	19752
147	8281	19695
148	8335	19635
149	8392	19583
150	8460	19553
151	8516	19498
152	8572	19442
153	8638	19409
154	8694	19353
155	8754	19305
156	8816	19260
157	8873	19207
158	8932	19156
159	8987	19098
160	9048	19051
161	9103	18992
162	9159	18937
163	9217	18884
164	9272	18826
165	9326	18766
166	9381	18707
167	9442	18659
168	9497	18601
169	9554	18546
170	9612	18493
171	9668	18437
172	9725	18382
173	9781	18327
174	9837	18269
175	9894	18214
176	9950	18157
177	10003	18096
178	10058	18037
179	10119	17989
180	10174	17932
181	10229	17873
182	10283	17813
183	10342	17761
184	10395	17699
185	10450	17642
186	10504	17582
187	10562	17528
188	10616	17469
189	10672	17413
190	10727	17355
191	10784	17299
192	10847	17254
193	10903	17198
194	10963	17148
195	11028	17104
196	11094	17064
197	11163	17026
198	11231	16988
199	11293	16940
200	11349	16882
201	11414	16839
202	11480	16796
203	11536	16739
204	11596	16687
205	11656	16635
206	11715	16582
207	11773	16528
208	11829	16470
209	11886	16414
210	11943	16359
211	12004	16308
212	12064	16256
213	12123	16202
214	12179	16145
215	12239	16093
216	12296	16036
217	12354	15981
218	12414	15929
219	12472	15874
220	12531	15819
221	12588	15764
222	12647	15710
223	12704	15653
224	12761	15596
225	12821	15544
226	12877	15486
227	12932	15428
228	12988	15371
229	13047	15316
230	13105	15261
231	13160	15202
232	13214	15142
233	13269	15083
234	13330	15032
235	13395	14985
236	13451	14927
237	13507	14869
238	13560	14808
239	13615	14750
240	13668	14689
241	13726	14634
242	13783	14577
243	13837	14518
244	13892	14459
245	13950	14403
246	14003	14343
247	14057	14283
248	14111	14224
249	14167	14167
250	14223	14110
251	14284	14057
252	14337	13997
253	14399	13946
254	14456	13889
255	14512	13832
256	14567	13774
257	14624	13717
258	14681	13660
259	14736	13603
260	14790	13543
261	14850	13490
262	14905	13431
263	14959	13373
264	15015	13315
265	15070	13257
266	15129	13202
267	15185	13145
268	15238	13085
269	15294	13028
270	15352	12973
271	15410	12917
272	15465	12859
273	15519	12801
274	15576	12744
275	15636	12690
276	15698	12637
277	15757	12583
278	15824	12534
279	15882	12478
280	15943	12425
281	16006	12373
282	16068	12321
283	16128	12266
284	16189	12213
285	16248	12157
286	16308	12103
287	16371	12051
288	16432	11997
289	16493	11943
290	16551	11887
291	16605	11828
292	16661	11770
293	16717	11713
294	16773	11656
295	16830	11599
296	16899	11551
297	16953	11492
298	17009	11434
299	17063	11375
300	17125	11322
301	17184	11266
302	17245	11212
303	17309	11159
304	17371	11106
305	17437	11054
306	17505	11005
307	17586	10962
308	17658	10915
309	17731	10867
310	17805	10820
311	17873	10769
312	17933	10714
313	17996	10660
314	18053	10603
315	18112	10546
316	18172	10490
317	18231	10434
318	18290	10377
319	18348	10320
320	18403	10262
321	18463	10206
322	18520	10148
323	18579	10092
324	18635	10034
325	18706	9984
326	18770	9930
327	18834	9876
328	18901	9824
329	18968	9771
330	19027	9714
331	19081	9655
332	19139	9598
333	19199	9542
334	19263	9488
335	19321	9430
336	19387	9377
337	19449	9322
338	19511	9266
339	19571	9209
340	19644	9159
341	19717	9109
342	19824	9074
343	19908	9028
344	20062	9013
345	20158	8972
346	20259	8932
347	20335	8882
348	20433	8840
349	20505	8788
350	20581	8736
351	20643	8679
352	20706	8622
353	20765	8564
354	20825	8506
355	20886	8448
356	20952	8392
357	21019	8337
358	21082	8280
359	21143	8222
360	21203	8164
361	21268	8107
362	21327	8049
363	21397	7994
364	21457	7936
365	21517	7877
366	21574	7818
367	21630	7758
368	21687	7699
369	21745	7640
370	21803	7581
371	21865	7523
372	21922	7464
373	21981	7405
374	22036	7345
375	22097	7287
376	22153	7227
377	22210	7168
378	22266	7108
379	22324	7049
380	22383	6991
381	22441	6932
382	22499	6873
383	22559	6814
384	22622	6757
385	22684	6699
386	22744	6641
387	22814	6585
388	22916	6539
389	23023	6493
390	23120	6445
391	23192	6389
392	23260	6332
393	23320	6273
394	23388	6217
395	23449	6158
396	23510	6099
397	23569	6040
398	23626	5980
399	23684	5921
400	23740	5861
401	23798	5801
402	23861	5743
403	23922	5684
404	23986	5626
405	24049	5568
406	24110	5509
407	24167	5449
408	24222	5389
409	24279	5329
410	24340	5270
411	24397	5211
412	24454	5151
413	24512	5092
414	24569	5032
415	24623	4972
416	24679	4912
417	24738	4853
418	24798	4793
419	24855	4734
420	24914	4675
421	24974	4616
422	25030	4556
423	25097	4498
424	25162	4440
425	25223	4381
426	25281	4322
427	25339	4262
428	25395	4202
429	25451	4143
430	25504	4083
431	25560	4023
432	25617	3963
433	25674	3904
434	25735	3845
435	25789	3785
436	25848	3726
437	25906	3667
438	25960	3607
439	26017	3547
440	26073	3488
441	26131	3428
442	26186	3369
443	26248	3310
444	26306	3251
445	26364	3192
446	26419	3132
447	26475	3073
448	26532	3013
449	26587	2954
450	26643	2894
451	26702	2835
452	26758	2776
453	26812	2716
454	26870	2657
455	26927	2598
456	26983	2538
457	27039	2479
458	27096	2420
459	27155	2361
460	27211	2302
461	27265	2242
462	27322	2183
463	27378	2124
464	27435	2065
465	27491	2005
466	27548	1946
467	27604	1887
468	27662	1828
469	27716	1769
470	27773	1710
471	27830	1650
472	27888	1591
473	27945	1532
474	27999	1473
475	28055	1414
476	28112	1355
477	28168	1296
478	28226	1237
479	28280	1178
480	28335	1119
481	28398	1060
482	28455	1001
483	28509	942
484	28566	883
485	28623	824
486	28679	765
487	28735	706
488	28789	647
489	28845	588
490	28901	529
491	28959	470
492	29013	411
493	29071	353
494	29128	294
495	29186	235
496	29240	176
497	29303	117
498	29357	58
499	29412	0
