fecha_corte,dia_llamada,NIT,Segmento,prob_opera_manana
2026-06-01,2026-06-02,9116,Banca Privada,0.9427271864758671
2026-06-01,2026-06-02,1840,CIB,0.9801490121529514
2026-06-01,2026-06-02,5807,CIB,0.9733111288568471
2026-06-01,2026-06-02,3658,CIB,0.9701144129438755
2026-06-01,2026-06-02,9371,CIB,0.9696778883096591
2026-06-01,2026-06-02,10704,CIB,0.9651204363582879
2026-06-01,2026-06-02,5685,CIB,0.9628885028671361
2026-06-01,2026-06-02,789,CIB,0.9625754559766302
2026-06-01,2026-06-02,3341,CIB,0.9616873483331333
2026-06-01,2026-06-02,5789,CIB,0.9615525315489918
2026-06-01,2026-06-02,2978,CIB,0.9610311551289445
2026-06-01,2026-06-02,4203,CIB,0.9608690965025078
2026-06-01,2026-06-02,7063,Constructor,0.8130172347404129
2026-06-01,2026-06-02,9736,Grandes Empresas,0.9763439634721989
2026-06-01,2026-06-02,1334,Grandes Empresas,0.967872308398166
2026-06-01,2026-06-02,5698,Grandes Empresas,0.9658251331369909
2026-06-01,2026-06-02,7503,Grandes Empresas,0.9643225323092999
2026-06-01,2026-06-02,10166,Grandes Empresas,0.9642732929638541
2026-06-01,2026-06-02,1666,Grandes Empresas,0.9618460788451917
2026-06-01,2026-06-02,7338,Grandes Empresas,0.9611427712542158
2026-06-01,2026-06-02,3150,Grandes Empresas,0.9609965808044882
2026-06-01,2026-06-02,2155,Grandes Empresas,0.9609172694437051
2026-06-01,2026-06-02,5888,Grandes Empresas,0.9601489477016113
2026-06-01,2026-06-02,2304,Grandes Empresas,0.9597567664686599
2026-06-01,2026-06-02,5810,Grandes Empresas,0.9587504539004815
2026-06-01,2026-06-02,2448,Grandes Empresas,0.9586413636527995
2026-06-01,2026-06-02,5215,Grandes Empresas,0.9578601076612321
2026-06-01,2026-06-02,6533,Grandes Empresas,0.9576296161273625
2026-06-01,2026-06-02,2016,Grandes Empresas,0.9576206578697236
2026-06-01,2026-06-02,5761,Institucional,0.9684690503191542
2026-06-01,2026-06-02,1024,Institucional,0.9669740368447337
2026-06-01,2026-06-02,1418,Institucional,0.9644809149268622
2026-06-01,2026-06-02,8484,Itaú Sucursales,0.9714575807720686
2026-06-01,2026-06-02,134,Personal Bank,0.5596031537463774
2026-06-01,2026-06-02,9602,Pymes,0.9807661203895467
2026-06-01,2026-06-02,9880,Pymes,0.9662392290606752
2026-06-01,2026-06-02,5330,Pymes,0.966135489823988
